ticker,exchange,side,quantity,orderType,limit,broker,strategy
STZ,US,SS,14,MKT,,BMTB,SOR
OXY,US,B,6,MKT,,BMTB,SOR
OXM,US,SS,5,MKT,,BMTB,SOR
EA,US,B,18,MKT,,BMTB,SOR
STKL,US,SS,35,MKT,,BMTB,SOR
GILD,US,B,4,MKT,,BMTB,SOR
CMA,US,B,27,MKT,,BMTB,SOR
SRPT,US,B,2,MKT,,BMTB,SOR
PRU,US,B,20,MKT,,BMTB,SOR
DVN,US,B,9,MKT,,BMTB,SOR
DLTR,US,SS,10,MKT,,BMTB,SOR
STKL,US,SS,10,MKT,,BMTB,SOR
NFLX,US,B,15,MKT,,BMTB,SOR
BMBL,US,BC,5,MKT,,BMTB,SOR
POAHY,US,SS,10,MKT,,BMTB,SOR
ACI,US,S,5,MKT,,BMTB,SOR
OSK,US,BC,6,LMT,11.21,BMTB,SOR
FISV,US,B,7,ALERT,,BMTB,SOR
ASPL,US,SS,8,ALERT,,BMTB,SOR
